Listings,Price,Room Type,Reviews,Location
Large bedroom steps to subway,69,Private room,7 reviews,"Crown Heights, Brooklyn"
1 Bedroom Sunny Charming Apartment,120,Entire home/apt,1 review,"Bedford-Stuyvesant, Brooklyn"
Sunny Private Williamsburg room,100,Private room,8 reviews,"Williamsburg, Brooklyn"
Luminous 2BR in Park Slope NYC,169,Entire home/apt,10 reviews,"Park Slope, Brooklyn"
Large Cozy & Private! BRKLN HEIGHTS,100,Private room,18 reviews,"Brooklyn Heights, Brooklyn"
Beautiful Private Room by the park,80,Private room,3 reviews,"Williamsburg, Brooklyn"
Private Room in Modern Condo w/View,115,Private room,23 reviews,"Bedford-Stuyvesant, Brooklyn"
"Room & Breakfast, Steps to L Train",65,Private room,114 reviews,"Bushwick, Brooklyn"
Rare Historic Gem in Williamsburg,89,Private room,65 reviews,"Williamsburg, Brooklyn"
Beautiful central bright loft apt.,200,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Big BR in W'Burg - pvt terrace/view,99,Private room,26 reviews,"Williamsburg, Brooklyn"
Great Views Park Slope Barclay's,140,Entire home/apt,16 reviews,"Park Slope, Brooklyn"
"Huge factory loft, prime location",225,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Sunny bedroom in Bushwick + Rooftop,45,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Modern Penthouse Apt in Greenpoint,179,Entire home/apt,54 reviews,"Greenpoint, Brooklyn"
Stunning Room in Brooklyn New York,110,Private room,61 reviews,"Williamsburg, Brooklyn"
Beautiful 2 bedroom with Patio,200,Entire home/apt,4 reviews,"Prospect Heights, Brooklyn"
Bright BK studio apt (Ft. Greene),95,Entire home/apt,11 reviews,"Fort Greene, Brooklyn"
"Stylish 3 Bedrm, perfect for groups",171,Entire home/apt,17 reviews,"Prospect Heights, Brooklyn"
Quiet>Sunny>Views>Gym>Williamsburg,125,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Private room in a brownstone,80,Private room,14 reviews,"Bedford-Stuyvesant, Brooklyn"
Lovely Bedrooms in Artist's Home,94,Private room,50 reviews,"Clinton Hill, Brooklyn"
Option of 2 Beds w Private Bathroom,58,Private room,33 reviews,"Bushwick, Brooklyn"
"LEGAL PARK SLOPE 4 BR, ROOF TERRACE",500,Entire home/apt,47 reviews,"Park Slope, Brooklyn"
Charming Cobble Hill apartment!,100,Private room,25 reviews,"Carroll Gardens, Brooklyn"
Cozy Top Floor Room of Brownstone,65,Private room,4 reviews,"Park Slope, Brooklyn"
"Unique Bushwick Loft, Great View!",75,Private room,13 reviews,"Williamsburg, Brooklyn"
Spacious & Sunny in Prime Brooklyn,150,Entire home/apt,25 reviews,"Clinton Hill, Brooklyn"
Palace in the Sky,295,Entire home/apt,15 reviews,"Williamsburg, Brooklyn"
NEW! Airy 2 Bedroom Brownstone,110,Entire home/apt,11 reviews,"Bedford-Stuyvesant, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,105,Private room,111 reviews,"Park Slope, Brooklyn"
Huge Apartment,400,Entire home/apt,O reviews,"Williamsburg, Brooklyn"
Adorable studio in Park Slope!,165,Entire home/apt,8 reviews,"Park Slope, Brooklyn"
Lovely Room in Gorgeous BK Brwnstn!,90,Private room,13 reviews,"Bedford-Stuyvesant, Brooklyn"
Historic House in Williamsburg,109,Private room,70 reviews,"Williamsburg, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,130,Entire home/apt,40 reviews,"Boerum Hill, Brooklyn"
BUDGET ROOM 15 MINUTES TO MANHATTAN,59,Private room,3 reviews,"Bushwick, Brooklyn"
FAB BKLYN ROOM&BATH&OWN ENTRANCE,110,Private room,49 reviews,"Fort Greene, Brooklyn"
9D Private Room in W'Burg,100,Private room,2 reviews,"Williamsburg, Brooklyn"
1 Blk to Subway + Prospect Park B,50,Private room,27 reviews,"Flatbush, Brooklyn"
Cheap Budget Private Room #1,39,Private room,2 reviews,"Bushwick, Brooklyn"
1 Blk to Subway + Prospect Park D,50,Private room,20 reviews,"Flatbush, Brooklyn"
Dream Loft 10 Min to Manhattan,95,Private room,17 reviews,"Williamsburg, Brooklyn"
Master Bedroom (Private Entrance),69,Private room,8 reviews,"Bushwick, Brooklyn"
Williamsburg Loft = Sunshine City!,180,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Spacious 1BR NYC home base in BKLN!,97,Entire home/apt,4 reviews,"Park Slope, Brooklyn"
Guestroom w/ 2 beds 20 mins to NYC,55,Private room,87 reviews,"Bushwick, Brooklyn"
Amazing Boerum Hill Apartment!,170,Entire home/apt,46 reviews,"Boerum Hill, Brooklyn"
Williamsburg 1 bedroom Apartment,135,Entire home/apt,48 reviews,"Williamsburg, Brooklyn"
Bright and Beautiful Brooklyn Apt.,139,Entire home/apt,35 reviews,"Park Slope, Brooklyn"
Sunny WILLIAMSBURG. Home Sweet Home,200,Entire home/apt,78 reviews,"Williamsburg, Brooklyn"
Private room in a brownstone,80,Private room,14 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny 1BR with Terrace/City Views,169,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Best Location in Prospect Heights!,110,Entire home/apt,11 reviews,"Prospect Heights, Brooklyn"
Beautiful Private Room with Bath,65,Private room,43 reviews,"Bedford-Stuyvesant, Brooklyn"
Best Location: Every Subway Here!,69,Private room,50 reviews,"Park Slope, Brooklyn"
Red Brick Bungalow in NYC,108,Private room,9 reviews,"Carroll Gardens, Brooklyn"
"Williamsburg, Brooklyn NY",225,Entire home/apt,26 reviews,"Williamsburg, Brooklyn"
Skylight BR in Gorgeous Rooftop Apt,59,Private room,74 reviews,"Bushwick, Brooklyn"
Stunning! Williamsburg Dream Room.,110,Private room,49 reviews,"Williamsburg, Brooklyn"
Williamsburg Luxury-Steps To Subway,90,Private room,159 reviews,"Williamsburg, Brooklyn"
Amazing Boerum Hill Apartment!,170,Entire home/apt,46 reviews,"Boerum Hill, Brooklyn"
Beautiful Studio Apartment,95,Private room,27 reviews,"Park Slope, Brooklyn"
Convenient Spacious LUX with VIEW!,95,Private room,42 reviews,"Williamsburg, Brooklyn"
PRIVATE 2 BR SUITE N 2 STORY DUPLEX,69,Private room,13 reviews,"Williamsburg, Brooklyn"
"Delightful,Private,Brooklyn studio",90,Private room,112 reviews,"Bedford-Stuyvesant, Brooklyn"
NYC gorgeous private room and bath,72,Private room,71 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Room & Bath w/City Views,75,Private room,56 reviews,"Bedford-Stuyvesant, Brooklyn"
Charming studio apartment!,116,Entire home/apt,30 reviews,"Fort Greene, Brooklyn"
Sun filled 2BR in BedStuy Townhouse,125,Entire home/apt,34 reviews,"Bedford-Stuyvesant, Brooklyn"
Your OWN Private Garden Apartment,120,Entire home/apt,12 reviews,"Clinton Hill, Brooklyn"
Best Bedroom with Private Bathroom,89,Private room,10 reviews,"Williamsburg, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,130,Entire home/apt,40 reviews,"Boerum Hill, Brooklyn"
"Wiliamsburg 3BDR ,Private Deck",320,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
3br in Neo-French Reniassance Home,164,Entire home/apt,15 reviews,"Lefferts Garden, Brooklyn"
Luxury Loft Private Room B (3C),100,Private room,13 reviews,"Williamsburg, Brooklyn"
"Best Location, Spacious and Sunny!",87,Private room,11 reviews,"Williamsburg, Brooklyn"
"BIG & SUNNY, 1 STOP FROM MANHATTAN",300,Entire home/apt,15 reviews,"Fort Greene, Brooklyn"
Cozy Room on Prospect Park!,50,Private room,52 reviews,"Flatbush, Brooklyn"
Perfect room at perfect location,60,Private room,13 reviews,"Flatbush, Brooklyn"
Spacious Heart of Ft. Greene Studio,100,Entire home/apt,29 reviews,"Fort Greene, Brooklyn"
Spacious private room in loft,100,Private room,15 reviews,"Greenpoint, Brooklyn"
SUNNY WILLIAMSBURG ARTIST LOFT,189,Entire home/apt,58 reviews,"Williamsburg, Brooklyn"
Sunny Studio in Ft. Greene,100,Entire home/apt,5 reviews,"Fort Greene, Brooklyn"
carriage house apartment,150,Entire home/apt,70 reviews,"Clinton Hill, Brooklyn"
Lovely Spacious Private Room,85,Private room,9 reviews,"Flatbush, Brooklyn"
2nd Fl Bklyn Brownstone Apt!,100,Entire home/apt,32 reviews,"Lefferts Garden, Brooklyn"
"Huge Brooklyn Loft w/Deck, NYC View",65,Private room,37 reviews,"Bedford-Stuyvesant, Brooklyn"
Williamsburg Spacious Studio,150,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
Picture Perfect Brooklyn Apartment,70,Private room,O reviews,"Brooklyn Heights, Brooklyn"
Sunny+Cozy Double bedroom in BKLYN!,53,Private room,73 reviews,"East Flatbush, Brooklyn"
Gorgeous French Garden cottage-N 8t,119,Entire home/apt,28 reviews,"Williamsburg, Brooklyn"
Sunny Room in Williamsburg Loft,100,Private room,11 reviews,"Williamsburg, Brooklyn"
Beautiful Room w/ Rooftop Patio!,80,Private room,13 reviews,"Williamsburg, Brooklyn"
Sunny Private Room in Williamsburg,80,Private room,42 reviews,"Williamsburg, Brooklyn"
Modern One bedroom in Williamsburg,260,Entire home/apt,8 reviews,"Greenpoint, Brooklyn"
Private Studio in Greenpoint,130,Entire home/apt,4 reviews,"Greenpoint, Brooklyn"
FAB BKLYN ROOM&BATH&OWN ENTRANCE,110,Private room,49 reviews,"Fort Greene, Brooklyn"
Beautiful 1 br in Williamsburg,140,Entire home/apt,10 reviews,"Williamsburg, Brooklyn"
Private Room and Private Bathroom,70,Private room,21 reviews,"Prospect Heights, Brooklyn"
Luxury Loft Private Room A (3C),100,Private room,17 reviews,"Williamsburg, Brooklyn"
The Bushwick Bedroom,50,Private room,O reviews,"Bushwick, Brooklyn"
SUNNY WILLIAMSBURG ARTIST LOFT,189,Entire home/apt,58 reviews,"Williamsburg, Brooklyn"
"Warm, light-filled home in Brooklyn",135,Entire home/apt,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Mayor's Mansion - Carlton_Suite,135,Private room,7 reviews,"Fort Greene, Brooklyn"
"LARGE PRIVATE FLOOR IN BROOKLYN, NY",90,Entire home/apt,79 reviews,"Bedford-Stuyvesant, Brooklyn"
Quirky Duplex - Historic Park Slope,85,Private room,37 reviews,"Park Slope, Brooklyn"
Best location in Brooklyn!,110,Private room,21 reviews,"Park Slope, Brooklyn"
"Lg. Cozy Park Slope ""Railroad"" Apt",130,Entire home/apt,12 reviews,"Park Slope, Brooklyn"
Sunny private room featured in film,94,Private room,83 reviews,"Flatbush, Brooklyn"
Bedford Stuyvesant Urban Hang Suite,150,Entire home/apt,51 reviews,"Bedford-Stuyvesant, Brooklyn"
Northside Williamsburg Brooklyn Sm,55,Private room,O reviews,"Williamsburg, Brooklyn"
Park Slope Private Room and Bath,65,Private room,24 reviews,"Park Slope, Brooklyn"
"LEGAL PARK SLOPE 4 BR, ROOF TERRACE",500,Entire home/apt,47 reviews,"Park Slope, Brooklyn"
Bedroom in Artsy Williamsburg loft,50,Private room,8 reviews,"Williamsburg, Brooklyn"
Prime Location in Bed-Stuy,110,Entire home/apt,5 reviews,"Bedford-Stuyvesant, Brooklyn"
Funky and Freshh - Greenpoint!,55,Private room,1 review,"Greenpoint, Brooklyn"
"Incredible location, stunning view!",170,Entire home/apt,6 reviews,"Downtown Brooklyn, Brooklyn"
Your OWN Private Garden Apartment,120,Entire home/apt,12 reviews,"Clinton Hill, Brooklyn"
Studio Apt in Park Slope- Brooklyn!,100,Entire home/apt,14 reviews,"Greenwood Heights, Brooklyn"
Beautiful Private Room with Bath,65,Private room,43 reviews,"Bedford-Stuyvesant, Brooklyn"
2bdrm Luxury Apt Fort Greene Bklyn,175,Entire home/apt,113 reviews,"Fort Greene, Brooklyn"
Williamsburg Penthouse Guestroom,75,Private room,6 reviews,"Williamsburg, Brooklyn"
Sunny Room/private bath/ Brownstone,95,Private room,30 reviews,"Park Slope, Brooklyn"
Cozy Dumbo Apartment & Roof View,300,Entire home/apt,6 reviews,"Brooklyn Heights, Brooklyn"
Sun-filled room in Boerum Hill,75,Private room,9 reviews,"Boerum Hill, Brooklyn"
"Cozy, spacious & convenient 1 BR :)",70,Private room,19 reviews,"Bushwick, Brooklyn"
Unforgettable stay in NYC. Book now,60,Private room,6 reviews,"East Flatbush, Brooklyn"
Sunny Private Room in Brooklyn,60,Private room,11 reviews,"Crown Heights, Brooklyn"
Prospect Park. Bikes. Garden.Trendy,65,Private room,8 reviews,"Flatbush, Brooklyn"
Huge Room in South Williamsburg,75,Private room,68 reviews,"Williamsburg, Brooklyn"
Great Loft - Private Room & Bath,110,Private room,62 reviews,"Windsor Terrace, Brooklyn"
Guestroom w/ 2 beds 20 mins to NYC,55,Private room,87 reviews,"Bushwick, Brooklyn"
Park Slope Green Guest House,135,Entire home/apt,218 reviews,"Park Slope, Brooklyn"
Gorgeous duplex 1 BR Brownstone apt,125,Entire home/apt,21 reviews,"Clinton Hill, Brooklyn"
Private Room in Beautiful Brooklyn,65,Private room,19 reviews,"Flatbush, Brooklyn"
NYC Special Occasions Room #2,27,Private room,63 reviews,"Bedford-Stuyvesant, Brooklyn"
Bargain Private Room #1,29,Private room,9 reviews,"Bushwick, Brooklyn"
Private Bedroom,60,Private room,8 reviews,"Bushwick, Brooklyn"
Authentic Artist Loft in Brooklyn,299,Entire home/apt,2 reviews,"Gowanus, Brooklyn"
"BEAUTIFUL APARTMENT, GREAT LOCATION",250,Entire home/apt,5 reviews,"Boerum Hill, Brooklyn"
Bright and Beautiful Brooklyn Apt.,139,Entire home/apt,35 reviews,"Park Slope, Brooklyn"
Sun-drenched 1 Bedroom on the Park,131,Entire home/apt,23 reviews,"Greenpoint, Brooklyn"
Huge Studio like-BR w/ PR Bathroom,108,Private room,6 reviews,"Williamsburg, Brooklyn"
Private Studio in Greenpoint,130,Entire home/apt,4 reviews,"Greenpoint, Brooklyn"
Williamsburg Loft City-River Views!,280,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Beautiful Penthouse Apt - Brooklyn,150,Entire home/apt,1 review,"Prospect Heights, Brooklyn"
Lovely Bklyn Heights brownstone 1BR,135,Entire home/apt,17 reviews,"Brooklyn Heights, Brooklyn"
Big King Room in Williamsburg,86,Private room,32 reviews,"Williamsburg, Brooklyn"
Nice room next to Prospect Park!,59,Private room,43 reviews,"Lefferts Garden, New York"
Luxury 1 bd with Balcony & Office,250,Entire home/apt,15 reviews,"DUMBO, Brooklyn"
Private Bedroom in Wooden House,90,Private room,107 reviews,"Williamsburg, Brooklyn"
PRIME 1br in Williamsburg,135,Entire home/apt,47 reviews,"Williamsburg, Brooklyn"
Gorgeous Williamsburg 1 Bedroom Apt,209,Entire home/apt,154 reviews,"Williamsburg, Brooklyn"
Sunny Spacious Williamsburg Apt!,135,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
"Cozy, spacious & convenient 1 BR :)",70,Private room,19 reviews,"Bushwick, Brooklyn"
"Huge factory loft, prime location",225,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Sunny+Cozy Double bedroom in BKLYN!,53,Private room,73 reviews,"East Flatbush, Brooklyn"
2 story family home in Williamsburg,285,Entire home/apt,153 reviews,"Williamsburg, Brooklyn"
Charming Townhouse 2BD/2BTH w Patio,185,Entire home/apt,69 reviews,"Clinton Hill, Brooklyn"
Beautiful Brooklyn share apartment,45,Shared room,11 reviews,"Bay Ridge, Brooklyn"
3BR/2BA Duplex - 1m to subway!,165,Entire home/apt,4 reviews,"Bedford-Stuyvesant, Brooklyn"
Comfortable Modern Room in Bed-Stuy,45,Private room,40 reviews,"Bedford-Stuyvesant, Brooklyn"
The Wedge House—Single Fam. Home,125,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
NYC Brklyn Cozy Rustic Artist Home,46,Private room,15 reviews,"Bushwick, Brooklyn"
Private Room,80,Private room,10 reviews,"Park Slope, Brooklyn"
Spacious 1BR NYC home base in BKLN!,97,Entire home/apt,4 reviews,"Park Slope, Brooklyn"
Zen Luxury Loft with Private Bath,72,Private room,17 reviews,"Williamsburg, Brooklyn"
Tranquil Single Bedroom in BKLYN!,53,Private room,38 reviews,"Flatbush, Brooklyn"
Big n Dreamy Room in Clinton Hill,80,Private room,7 reviews,"Clinton Hill, Brooklyn"
Cozy bedroom in My Loft in New York,79,Private room,56 reviews,"Williamsburg, Brooklyn"
Spacious Back Room in Brownstone,110,Private room,6 reviews,"Park Slope, Brooklyn"
"BIG & SUNNY, 1 STOP FROM MANHATTAN",300,Entire home/apt,15 reviews,"Fort Greene, Brooklyn"
Best Location in Prospect Heights!,110,Entire home/apt,11 reviews,"Prospect Heights, Brooklyn"
Master Bedroom (Private Entrance),69,Private room,8 reviews,"Bushwick, Brooklyn"
Modern & Cozy Heart of Park Slope,110,Entire home/apt,1 review,"Park Slope, Brooklyn"
"The M, a Charming Garden Apartment",110,Entire home/apt,32 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Heart of Ft. Greene Studio,100,Entire home/apt,29 reviews,"Fort Greene, Brooklyn"
Cheap Budget Private Room #1,39,Private room,2 reviews,"Bushwick, Brooklyn"
Sunny WILLIAMSBURG. Home Sweet Home,200,Entire home/apt,78 reviews,"Williamsburg, Brooklyn"
Brooklyn NY Studio，Private Bathroom,60,Private room,O reviews,"Bay Ridge, Brooklyn"
Share a Private HOME - Brooklyn,75,Private room,26 reviews,"Bedford-Stuyvesant, Brooklyn"
"Fresh, Clean Brooklyn Garden Apt.",150,Entire home/apt,66 reviews,"Clinton Hill, Brooklyn"
Cozy Room With private 1/2 bath,75,Private room,100 reviews,"Park Slope, Brooklyn"
Gorgeous Room in Brooklyn New York,105,Private room,58 reviews,"Williamsburg, Brooklyn"
Comfy & Quiet stay in Greenpoint!,70,Private room,105 reviews,"Greenpoint, Brooklyn"
Rooftop Garden Condo-DwntwnBK/DUMBO,150,Entire home/apt,11 reviews,"Fort Greene, Brooklyn"
Gorgeous Sky-lit 2br (hidden gem),175,Entire home/apt,68 reviews,"Williamsburg, Brooklyn"
Modern Meets Vintage in Cobble Hill,78,Private room,42 reviews,"Boerum Hill, Brooklyn"
Bright  1BR Near 7th Ave F Train!,150,Entire home/apt,21 reviews,"Park Slope, Brooklyn"
"Big bright room, great neighborhood",70,Private room,6 reviews,"Windsor Terrace, Brooklyn"
Luxury Lofted Williamsburg 3bd,345,Entire home/apt,55 reviews,"Williamsburg, Brooklyn"
Prospect Heights Pied-a-terre,119,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Sunny & Spacious in Park Slope,200,Entire home/apt,11 reviews,"Park Slope, Brooklyn"
"BEST DEAL IN BROOKLYN, FULL SIZE BD",45,Private room,38 reviews,"East New York, Brooklyn"
Private Master Suite in Park Slope,115,Private room,93 reviews,"Park Slope, Brooklyn"
Sunny Industrial Loft in Brooklyn,175,Entire home/apt,22 reviews,"Greenpoint, Brooklyn"
Williamsburg Penthouse For A Cause,110,Private room,113 reviews,"Williamsburg, Brooklyn"
carriage house apartment,150,Entire home/apt,70 reviews,"Clinton Hill, Brooklyn"
Private Room in 4Bed- Williamsburg,60,Private room,2 reviews,"Williamsburg, Brooklyn"
Best Neighborhood Carroll Gardens,275,Entire home/apt,36 reviews,"Carroll Gardens, Brooklyn"
Private Bedroom in Wooden House,90,Private room,107 reviews,"Williamsburg, Brooklyn"
"Piano, Skyline View, L and M Trains",55,Private room,21 reviews,"Bushwick, Brooklyn"
"""The Country"" & the NYC Waterfront!",160,Entire home/apt,78 reviews,"Williamsburg, Brooklyn"
Spacious Clinton Hill Apartment,110,Entire home/apt,25 reviews,"Clinton Hill, Brooklyn"
Sunny 1BR with Terrace/City Views,169,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Cozy Bedroom in Cute BK Apartment!,55,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
Cozy Room on Prospect Park!,50,Private room,52 reviews,"Flatbush, Brooklyn"
Spacious & Stylish-Central location,150,Entire home/apt,23 reviews,"Williamsburg, New York"
Sunny Studio in Ft. Greene,100,Entire home/apt,5 reviews,"Fort Greene, Brooklyn"
NICE ROOM #1 ~ AWESOME LOCATION!!,139,Private room,21 reviews,"Williamsburg, Brooklyn"
Cozy Carroll Gardens Brownstone Apt,175,Entire home/apt,48 reviews,"Carroll Gardens, Brooklyn"
Perfect room at perfect location,60,Private room,13 reviews,"Flatbush, Brooklyn"
Private Room/Heart of Williamsburg,85,Shared room,5 reviews,"Williamsburg, Brooklyn"
BUDGET ROOM 15 MINUTES TO MANHATTAN,59,Private room,3 reviews,"Bushwick, Brooklyn"
Room for a girl in Park Slope,45,Private room,15 reviews,"Park Slope, Brooklyn"
Big Loft in Heart of Williamsburg,300,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
Sunny & modern  1bd/1ba home,140,Entire home/apt,11 reviews,"Clinton Hill, Brooklyn"
Quiet Studio in Limestone Townhouse,185,Entire home/apt,13 reviews,"Park Slope, Brooklyn"
Spacious private room in loft,100,Private room,15 reviews,"Greenpoint, Brooklyn"
"Wiliamsburg 3BDR ,Private Deck",320,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Bedford Stuyvesant Urban Hang Suite,150,Entire home/apt,51 reviews,"Bedford-Stuyvesant, Brooklyn"
Prime Location in Bed-Stuy,110,Entire home/apt,5 reviews,"Bedford-Stuyvesant, Brooklyn"
2 bdr Park Slope Gem,175,Entire home/apt,O reviews,"Park Slope, Brooklyn"
PRIME 1br in Williamsburg,135,Entire home/apt,47 reviews,"Williamsburg, Brooklyn"
"Exquisite MasterSuite, Private Bath",110,Entire home/apt,38 reviews,"Gowanus, Brooklyn"
ENTIRE 3 BEDROOM + 2 STORY DUPLEX,99,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Private room in beautiful loft,68,Private room,38 reviews,"Clinton Hill, Brooklyn"
Cozy 1br home for your stay in BK!,125,Entire home/apt,1 review,"Prospect Heights, Brooklyn"
XL Fort Greene Garden Apt,99,Private room,12 reviews,"Fort Greene, Brooklyn"
Contemporary Architect's Brownstone,495,Entire home/apt,16 reviews,"Park Slope, Brooklyn"
Sun soaked studio in Williamsburg,159,Entire home/apt,12 reviews,"Williamsburg, Brooklyn"
Cozy clean quiet room December sale,65,Private room,1 review,"Bedford-Stuyvesant, Brooklyn"
Luxury Loft Private Room B (3C),100,Private room,13 reviews,"Williamsburg, Brooklyn"
Large sunny room across from park,60,Private room,3 reviews,"Bushwick, Brooklyn"
Cheap Budget Private Room #3,39,Private room,8 reviews,"Bushwick, Brooklyn"
Specious room in Brooklyn!!,75,Private room,2 reviews,"Crown Heights, Brooklyn"
Modern 1br loft apt in Williamsburg,175,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
"1Bedroom, Seconds from L train",81,Private room,20 reviews,"Bushwick, Brooklyn"
Carroll Gardens Guest Apartment,275,Entire home/apt,1 review,"Carroll Gardens, Brooklyn"
Williamsburg Luxury-Steps To Subway,90,Private room,159 reviews,"Williamsburg, Brooklyn"
Cozy Park Slope One Bedroom,149,Entire home/apt,11 reviews,"Park Slope, Brooklyn"
"Cozy, Bright Bushwick Room off L&M",53,Private room,4 reviews,"Bushwick, Brooklyn"
The Real Cool Large Private Deal,195,Entire home/apt,85 reviews,"Williamsburg, Brooklyn"
Sunny Suite Sleeps Up To Six,150,Entire home/apt,1 review,"Flatbush, Brooklyn"
Stunning and Modern next to Park,99,Entire home/apt,19 reviews,"Prospect Heights, Brooklyn"
Charming Brooklyn Garden House,275,Entire home/apt,23 reviews,"Park Slope, Brooklyn"
Sunny Room in Classic Artist's Loft,85,Private room,40 reviews,"Greenpoint, Brooklyn"
Hip/Trendy Brooklyn Loft Apartment.,45,Private room,6 reviews,"Bedford-Stuyvesant, Brooklyn"
Great Price for Perfect Location!,57,Private room,44 reviews,"Williamsburg, Brooklyn"
Spacious Clinton Hill Apartment,110,Entire home/apt,25 reviews,"Clinton Hill, Brooklyn"
